구,업종명,사업장명,인허가일자,영업상태,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지지번주소,소재지도로명주소,데이터기준일자
분당구,제과점영업,파리바게뜨,2010-08-16,영업중,-,-,-,-,83.53,경기도 성남시 분당구 분당동 90-1번지 한일빌딩 1층 일부(103호),"경기도 성남시 분당구 장안로 39 (분당동,한일빌딩 1층 일부(103호))",2021-03-31
분당구,제과점영업,파리바게뜨 판교백현점,2010-08-26,영업중,-,-,-,-,59.17,경기도 성남시 분당구 백현동 550번지 자유퍼스트프라자II 1층 102호,"경기도 성남시 분당구 동판교로 61, 1층 102호 (백현동, 자유퍼스트프라자II)",2021-03-31
수정구,제과점영업,(주)신세계푸드 베이커리 성남점,2010-09-07,영업중,-,-,-,-,148.39,"경기도 성남시 수정구 태평동 7336번지 신세계쉐덴,지하2층(일부)","경기도 성남시 수정구 수정로 201, 지하2(일부)층 (태평동, 신세계쉐덴)",2021-03-31
분당구,제과점영업,블럭제빵소,2014-11-20,영업중,-,-,-,-,21,경기도 성남시 분당구 서현동 311 효자촌 604동 상가1층 114호,"경기도 성남시 분당구 불정로376번길 31 (서현동, 효자촌 604동 상가1층)",2021-03-31
수정구,제과점영업,뚜레쥬르,2001-09-11,영업중,-,-,-,-,60.98,경기도 성남시 수정구 태평동 6424번지 1층,"경기도 성남시 수정구 제일로 165-1 (태평동,1층)",2021-03-31
분당구,제과점영업,뚜레쥬르야탑매화마을점,2010-05-20,영업중,-,-,-,-,97.05,경기도 성남시 분당구 야탑동 219-1번지 아델파크빌       B103-1호,"경기도 성남시 분당구 장미로 198 (야탑동, 아델파크빌       B103-1호 )",2021-03-31
분당구,제과점영업,파리바게뜨 판교원마을점,2010-05-28,영업중,-,-,-,-,69.54,경기도 성남시 분당구 판교동 621-5번지 1층 일부,"경기도 성남시 분당구 운중로 239 (판교동,1층 일부)",2021-03-31
수정구,제과점영업,본베이커리,2010-05-28,영업중,-,-,-,-,37.6,경기도 성남시 수정구 태평동 3482-2번지 외1필지 1층,"경기도 성남시 수정구 수정북로 60 (태평동,외1필지 1층)",2021-03-31
분당구,제과점영업,브레들리 야탑점,2016-10-14,영업중,-,-,-,-,29.4,경기도 성남시 분당구 야탑동 514-2 뉴젠빌원룸텔 1층 102호 일부,"경기도 성남시 분당구 야탑로 102 (야탑동, 뉴젠빌원룸텔 1층 102호 일부)",2021-03-31
분당구,제과점영업,맛나당,2016-10-19,영업중,-,-,-,-,38.4,경기도 성남시 분당구 정자동 226-2번지 1층 일부,"경기도 성남시 분당구 불곡남로 6 (정자동, 1층 일부)",2021-03-31
수정구,제과점영업,베이커리 리종,2016-12-13,영업중,-,-,-,-,46.74,경기도 성남시 수정구 창곡동 513번지 에이플타워 1층 107호,"경기도 성남시 수정구 위례동로 153, 1층 107호 (창곡동, 에이플타워)",2021-03-31
수정구,제과점영업,베이커리 리종1,2016-12-13,영업중,-,-,-,-,108,경기도 성남시 수정구 창곡동 513번지 에이플타워 4층 401호,"경기도 성남시 수정구 위례동로 153, 4층 401호 (창곡동, 에이플타워)",2021-03-31
분당구,제과점영업,블럭제빵소 정자점,2017-01-10,영업중,-,-,-,-,28.19,경기도 성남시 분당구 정자동 117-2번지 한솔마을 상가동 1층 102호,"경기도 성남시 분당구 내정로 52 (정자동, 한솔마을 상가동 1층 102호)",2021-03-31
수정구,제과점영업,파리바게트,2001-04-17,영업중,-,-,-,-,64.35,경기도 성남시 수정구 양지동 232번지 1층,"경기도 성남시 수정구 산성대로 529-1, 1층 (양지동)",2021-03-31
