업종명,업소명,소재지(도로명),소재지전화,관할기관,기준일자
건강기능식품일반판매업,에이치비,경기도 구리시 아차산로405번길 40 (교문동),,구리시청,2021-05-07
건강기능식품일반판매업,정관장토평점,경기도 구리시 장자대로 72 (수택동), 031- 558-2303,구리시청,2021-05-07
건강기능식품일반판매업,주식회사 가제트,경기도 구리시 원수택로 22  상가동 203호 (수택동),,구리시청,2021-05-07
건강기능식품일반판매업,고려인삼,경기도 구리시 경춘로 195 (인창동 뉴중앙빌딩 4층),031 -567 -1702,구리시청,2021-05-07
건강기능식품일반판매업,송용호,경기도 구리시 이문안로 93  동은빌딩 202호 (수택동),,구리시청,2021-05-07
건강기능식품일반판매업,구리소아청소년과,경기도 구리시 이문안로 68  2층 (수택동  동진프라자),031 -553 -9119,구리시청,2021-05-07
건강기능식품일반판매업,주광진,경기도 구리시 동구릉로459번길 136-15 (사노동),,구리시청,2021-05-07
건강기능식품일반판매업,우리시스템,경기도 구리시 안골로 99-6  1층 (수택동),,구리시청,2021-05-07
건강기능식품일반판매업,라촌,경기도 구리시 경춘로288번길 39  원일아파트 바동 110호 (수택동),,구리시청,2021-05-07
건강기능식품일반판매업,대광건강식품,경기도 구리시 원수택로52번길 48 (수택동  1층),031 -568 -7705,구리시청,2021-05-07
건강기능식품일반판매업,허브아라,경기도 구리시 응달말로52번길 54 (인창동 (1층)),070 -7559-4545,구리시청,2021-05-07
건강기능식품일반판매업,가이아,경기도 구리시 동구릉로389번길 89-9  1층 (사노동), 031- 529-0590,구리시청,2021-05-07
건강기능식품일반판매업,우리병원,경기도 구리시 검배로 78 (수택동),,구리시청,2021-05-07
건강기능식품일반판매업,gs25 인창본점,경기도 구리시 동구릉로 149  1층 (인창동),,구리시청,2021-05-07
건강기능식품일반판매업,파워핵산,경기도 구리시 건원대로76번길 134  408동 1202호 (인창동  주공아파트),,구리시청,2021-05-07
건강기능식품일반판매업,두레마을 구리점,경기도 구리시 건원대로 56 (인창동), 031- 565-0222,구리시청,2021-05-07
건강기능식품일반판매업,케이팝베스트샵,경기도 구리시 갈매중앙로 185-4  407호 (갈매동),,구리시청,2021-05-07
건강기능식품일반판매업,주식회사 비에이엠,경기도 구리시 동구릉로 149  4층 (인창동),,구리시청,2021-05-07
건강기능식품일반판매업,웰컴투해피니스,경기도 구리시 건원대로 51  창일빌딩 3층 349호 (인창동),,구리시청,2021-05-07
건강기능식품일반판매업,행복한허브건강다이어트,경기도 구리시 장자호수길 71 (교문동  신명상가 104호),,구리시청,2021-05-07
건강기능식품일반판매업,경진상사,경기도 구리시 동구릉로136번길 90 (인창동 강북수산 내 72호),,구리시청,2021-05-07
건강기능식품일반판매업,주식회사 에스디파마,경기도 구리시 갈매길 120  주1동 (갈매동),031 -553 -3999,구리시청,2021-05-07
건강기능식품일반판매업,삼덕,경기도 구리시 원수택로12번길 30 (수택동 2층),031 -552 -0357,구리시청,2021-05-07
건강기능식품일반판매업,시즈세븐,경기도 구리시 건원대로99번길 99 (인창동  2층),,구리시청,2021-05-07
건강기능식품일반판매업,시너지 월드와이드 코리아,경기도 구리시 경춘로242번길 31-9 (수택동  102호),,구리시청,2021-05-07
건강기능식품일반판매업,잎새로,경기도 구리시 검배로72번길 37-7  3층 (수택동),,구리시청,2021-05-07
건강기능식품일반판매업,성신코리아,경기도 구리시 체육관로 147-3  웨스턴타워오피스텔 303호 (교문동),,구리시청,2021-05-07
건강기능식품일반판매업,한일의료기,경기도 구리시 경춘로 169  1층 (교문동),,구리시청,2021-05-07
건강기능식품일반판매업,올댓방콕에이젼시,경기도 구리시 장자대로37번길 20  202동 601호 (교문동  교문(대우 동양고속)아파트),,구리시청,2021-05-07
