사업체명,관리번호,지번코드,지번주소
스타벅스경기광주신현DT,31N1638718,4.16103E+18,경기도 광주시 오포읍 신현리
(주) 우드코 광주지점,3119589990,4.16103E+18,경기도 광주시 오포읍 신현리
꾸미는강아지,1831501856,4.16103E+18,경기도 광주시 오포읍 신현리
어랑회랑,1831500580,4.16103E+18,경기도 광주시 오포읍 신현리
크록스 팩토리아울렛점,1831501171,4.16103E+18,경기도 광주시 오포읍 신현리
지산공인중개사사무소,3106049757,4.16103E+18,경기도 광주시 오포읍 신현리
벡텔카 디테일링,3114353004,4.16103E+18,경기도 광주시 오포읍 신현리
백텔세차장,3109116697,4.16103E+18,경기도 광주시 오포읍 신현리
카왁싱프로젝트,3117126544,4.16103E+18,경기도 광주시 오포읍 신현리
차돌쌈,3115109985,4.16103E+18,경기도 광주시 오포읍 신현리
남와정(신현점) (주)인프라시스템즈,1831501165,4.16103E+18,경기도 광주시 오포읍 신현리
B2치킨,3116441776,4.16103E+18,경기도 광주시 오포읍 신현리
대한조개만세,3119590051,4.16103E+18,경기도 광주시 오포읍 신현리
푸주옥,3117126557,4.16103E+18,경기도 광주시 오포읍 신현리
샤방샤방노래연습장,3115304159,4.16103E+18,경기도 광주시 오포읍 신현리
국제자동차운전학원,3100447521,4.16103E+18,경기도 광주시 오포읍 신현리
국제종합골프,3106144336,4.16103E+18,경기도 광주시 오포읍 신현리
주) 국제자산개발,3117126636,4.16103E+18,경기도 광주시 오포읍 신현리
신현대공인중개사,3102136830,4.16103E+18,경기도 광주시 오포읍 신현리
고은옷수선,3113571005,4.16103E+18,경기도 광주시 오포읍 신현리
고은옷수선,31N1556184,4.16103E+18,경기도 광주시 오포읍 신현리
모닝101호,3115749406,4.16103E+18,경기도 광주시 오포읍 신현리
현대세탁소,3114101253,4.16103E+18,경기도 광주시 오포읍 신현리
준 (Jun),1831501255,4.16103E+18,경기도 광주시 오포읍 신현리
헤어모드,1831501458,4.16103E+18,경기도 광주시 오포읍 신현리
헤어모드,3110128260,4.16103E+18,경기도 광주시 오포읍 신현리
제이메디칼,3119591957,4.16103E+18,경기도 광주시 오포읍 신현리
현대모님공인중개사무소,3119591979,4.16103E+18,경기도 광주시 오포읍 신현리
현대모닝개발,3119591986,4.16103E+18,경기도 광주시 오포읍 신현리
피자나라치킨공주(오포점),3119592071,4.16103E+18,경기도 광주시 오포읍 신현리
맑은샘 음악 교습소,1831501377,4.16103E+18,경기도 광주시 오포읍 신현리
맑은샘음악교습소,3117126947,4.16103E+18,경기도 광주시 오포읍 신현리
네일아트잘하는집,31N1554865,4.16103E+18,경기도 광주시 오포읍 신현리
현대모닝사이드1차APT 입주자대표회의,3102136827,4.16103E+18,경기도 광주시 오포읍 신현리
오포작은도서관,3109116862,4.16103E+18,경기도 광주시 오포읍 신현리
더 테라스(THE TERRACE),3116387329,4.16103E+18,경기도 광주시 오포읍 신현리
(주)진승무역,3100181447,4.16103E+18,경기도 광주시 오포읍 신현리
성진전자통신주식회사,1100680701,4.16103E+18,경기도 광주시 오포읍 신현리
아름다운 나라 미용실,3103153688,4.16103E+18,경기도 광주시 오포읍 신현리
푸주간 구이점,3117129195,4.16103E+18,경기도 광주시 오포읍 신현리
비상열쇠,3116386988,4.16103E+18,경기도 광주시 오포읍 신현리
비엔하우스,3119592083,4.16103E+18,경기도 광주시 오포읍 신현리
다우D,3113242127,4.16103E+18,경기도 광주시 오포읍 신현리
동촌,3115744784,4.16103E+18,경기도 광주시 오포읍 신현리
오포시골산장,31N1556186,4.16103E+18,경기도 광주시 오포읍 신현리
크린에이드유니트,3109116997,4.16103E+18,경기도 광주시 오포읍 신현리
