지형지물부호,지번주소,X좌표,Y좌표,데이터기준일
지류,경기도 광주시 도척면 상림리104-26번지,37.3147242,127.3055287,2019-12-30
지류,경기도 광주시 초월읍 신월리60-7번지,37.39410636,127.3234898,2019-12-30
지류,경기도 광주시 퇴촌면 도수리258번지,37.46792594,127.328739,2019-12-30
지류,경기도 광주시 초월읍 학동리14-19번지,37.39414394,127.3413563,2019-12-30
지류,경기도 광주시 초월읍 도평리158번지,37.39536281,127.2948029,2019-12-30
지류,경기도 광주시 남종면 금사리197번지,37.48416282,127.3052216,2019-12-30
지류,경기도 광주시 곤지암읍 장심리272-6번지,37.37690222,127.398257,2019-12-30
지류,경기도 광주시 곤지암읍 곤지암리240번지,37.33949332,127.354597,2019-12-30
지류,경기도 광주시 초월읍 무갑리110번지,37.42404025,127.3282037,2019-12-30
지류,경기도 광주시 남종면 검천리733번지,37.52567473,127.3365498,2019-12-30
지류,경기도 광주시 초월읍 선동리147-1번지,37.3786624,127.3236169,2019-12-30
지류,경기도 광주시 남한산성면 오전리161번지,37.44985424,127.2274063,2019-12-30
지류,경기도 광주시 곤지암읍 만선리80-7번지,37.36161392,127.4096678,2019-12-30
지류,경기도 광주시 남종면 분원리153-1번지,37.49560607,127.303623,2019-12-30
지류,경기도 광주시 초월읍 신월리69-2번지,37.39453896,127.3219273,2019-12-30
지류,경기도 광주시 도척면 상림리17-45번지,37.31393414,127.3075666,2019-12-30
지류,경기도 광주시 도척면 상림리51-97번지,37.31197689,127.3165647,2019-12-30
지류,경기도 광주시 남한산성면 하번천리231-2번지,37.43918484,127.2831825,2019-12-30
지류,경기도 광주시 곤지암읍 건업리31번지,37.40209053,127.3970282,2019-12-30
지류,경기도 광주시 오포읍 문형리451-5번지,37.34339039,127.209513,2019-12-30
지류,경기도 광주시 남종면 수청리415-4번지,37.51640197,127.3693808,2019-12-30
지류,경기도 광주시 남종면 분원리24번지,37.49224699,127.3085621,2019-12-30
지류,경기도 광주시 남한산성면 엄미리667번지,37.47803268,127.2208191,2019-12-30
지류,경기도 광주시 곤지암읍 이선리240-5번지,37.35513352,127.4221692,2019-12-30
지류,경기도 광주시 남종면 검천리692번지,37.5217502,127.3356794,2019-12-30
지류,경기도 광주시 곤지암읍 삼합리495번지,37.37511798,127.4310943,2019-12-30
지류,경기도 광주시 곤지암읍 부항리558번지,37.34963005,127.3798051,2019-12-30
지류,경기도 광주시 쌍령동137번지,37.4003621,127.2648702,2019-12-30
지류,경기도 광주시 초월읍 대쌍령리산445-19번지,37.38034978,127.2752391,2019-12-30
지류,경기도 광주시 오포읍 고산리30-1번지,37.38143986,127.2378636,2019-12-30
지류,경기도 광주시 남종면 귀여리547-33번지,37.50444479,127.3127365,2019-12-30
지류,경기도 광주시 초월읍 무갑리407번지,37.4236548,127.3159597,2019-12-30
지류,경기도 광주시 도척면 궁평리415-2번지,37.33943239,127.3163955,2019-12-30
지류,경기도 광주시 곤지암읍 연곡리14-2번지,37.36776121,127.3886882,2019-12-30
지류,경기도 광주시 남한산성면 엄미리468번지,37.47280911,127.2225917,2019-12-30
지류,경기도 광주시 곤지암읍 삼합리531번지,37.37328107,127.4332534,2019-12-30
지류,경기도 광주시 오포읍 신현리312-5번지,37.3634687,127.170276,2019-12-30
지류,경기도 광주시 도척면 진우리407-3번지,37.32001045,127.33644,2019-12-30
지류,경기도 광주시 도척면 방도리438번지,37.27955109,127.3300624,2019-12-30
지류,경기도 광주시 퇴촌면 원당리61번지,37.4435741,127.3231699,2019-12-30
지류,경기도 광주시 초월읍 신월리38번지,37.39597561,127.3273582,2019-12-30
지류,경기도 광주시 곤지암읍 이선리457-3번지,37.36228314,127.415612,2019-12-30
지류,경기도 광주시 초월읍 무갑리99-1번지,37.42479073,127.3286602,2019-12-30
지류,경기도 광주시 초월읍 무갑리198-3번지,37.42018732,127.3304524,2019-12-30
