업소명,업종명,서비스대상구분,외국어안내서비스,소재지도로명주소,소재지지번주소,객실수,위도,경도,데이터기준일자
자이펜션,민박,내국인+외국인,없음,경기도 가평군 상면 왕대벌길 24,경기도 가평군 상면 임초리 64-3,2,37.76993592,127.3817431,2021-06-09
계곡속의 바위집,민박,내국인+외국인,없음,경기도 가평군 북면 화악산로 1359-13,경기도 가평군 북면 화악리 1072-1,5,37.97129118,127.5248658,2021-06-09
고울빛냇가에서,민박,내국인+외국인,없음,경기도 가평군 가평읍 테봉두밀로 522-74,경기도 가평군 가평읍 두밀리 337-1,2,37.81631844,127.4430444,2021-06-09
녹천농원,민박,내국인+외국인,없음,경기도 가평군 조종면 운악청계로333번길 55-19,경기도 가평군 조종면 신상리 296-1,4,37.845789,127.3485694,2021-06-09
방주펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 당목가일길 420,경기도 가평군 가평읍 개곡리 362-2,2,37.86909919,127.5573715,2021-06-09
생모리츠,민박,내국인+외국인,없음,경기도 가평군 설악면 유명로 668-7,경기도 가평군 설악면 가일리 332-1,3,37.60603269,127.4933383,2021-06-09
곰들산장,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로386번길 47-24,경기도 가평군 상면 행현리 632-2,4,37.74542829,127.3496141,2021-06-09
연인과산,민박,내국인+외국인,없음,경기도 가평군 가평읍 용추로 508-25,경기도 가평군 가평읍 승안리 630,7,37.86038507,127.4716928,2021-06-09
라구나 펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로596번길 78-16,경기도 가평군 가평읍 두밀리  593,3,37.81189551,127.4309484,2021-06-09
예담펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 용추로 508-43,경기도 가평군 가평읍 승안리 633-6,5,37.86075445,127.4710106,2021-06-09
언덕위의 민박,민박,내국인+외국인,없음,경기도 가평군 가평읍 용추로 292,경기도 가평군 가평읍 승안리 412-4,5,37.85112171,127.4826655,2021-06-09
햇빛여행펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 용추로 508-63,경기도 가평군 가평읍 승안리 646-18,6,37.86132211,127.4703737,2021-06-09
물가유원지민박,민박,내국인+외국인,없음,경기도 가평군 조종면 운악청계로 351-40,경기도 가평군 조종면 신상리 123,2,37.84625537,127.3538765,2021-06-09
옛집민박,민박,내국인+외국인,없음,경기도 가평군 북면 화악산로 1074,경기도 가평군 북면 화악리 918-1,6,37.94853077,127.5353409,2021-06-09
풍경마루민박,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 1476-16,경기도 가평군 북면 제령리 616,6,37.89673798,127.5080642,2021-06-09
그린밸리펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 당목가일길 665,경기도 가평군 가평읍 개곡리  141-2,3,37.87850442,127.5803598,2021-06-09
개울가펜션,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 722,경기도 가평군 북면 이곡리  543,3,37.87460863,127.5243898,2021-06-09
솔내음,민박,내국인+외국인,없음,경기도 가평군 북면 화악산로 1184,경기도 가평군 북면 화악리 965-4,4,37.95633786,127.5285034,2021-06-09
