지형지물부호,지번주소,X좌표,Y좌표,데이터기준일자
호수,경기도 광주시 초월읍 지월리599-5번지,37.4151126,127.2884387,2019-12-28
호수,경기도 광주시 오포읍 추자리448번지,37.36185171,127.2187234,2019-12-28
호수,경기도 광주시 장지동495-1번지,37.40510246,127.2392849,2019-12-28
호수,경기도 광주시 곤지암읍 삼리565-2번지,37.34869303,127.312824,2019-12-28
호수,경기도 광주시 오포읍 추자리474-5번지,37.35921213,127.2201844,2019-12-28
호수,경기도 광주시 도척면 궁평리20-5번지,37.34194474,127.3351076,2019-12-28
호수,경기도 광주시 곤지암읍 건업리116번지,37.39588764,127.3999126,2019-12-28
호수,경기도 광주시 퇴촌면 도수리454번지,37.47192223,127.321626,2019-12-28
호수,경기도 광주시 곤지암읍 삼리612-13번지,37.35458003,127.3322421,2019-12-28
호수,경기도 광주시 경안동272-4번지,37.40823236,127.2482449,2019-12-28
호수,경기도 광주시 오포읍 신현리1059번지,37.34681866,127.1365087,2019-12-28
호수,경기도 광주시 퇴촌면 무수리산4-3번지,37.45707521,127.2868213,2019-12-28
호수,경기도 광주시 직동358번지,37.39594613,127.178378,2019-12-28
호수,경기도 광주시 곤지암읍 오향리156-2번지,37.37840639,127.3720712,2019-12-28
호수,경기도 광주시 곤지암읍 삼리4-8번지,37.35233102,127.3345083,2019-12-28
호수,경기도 광주시 퇴촌면 관음리111-8번지,37.44541059,127.3584821,2019-12-28
호수,경기도 광주시 장지동651-3번지,37.40212668,127.2305726,2019-12-28
호수,경기도 광주시 곤지암읍 곤지암리216-2번지,37.34133318,127.3515905,2019-12-28
호수,경기도 광주시 송정동산63-11번지,37.43167146,127.2542595,2019-12-28
호수,경기도 광주시 곤지암읍 만선리135번지,37.36324041,127.3997996,2019-12-28
호수,경기도 광주시 도척면 상림리276-6번지,37.31641447,127.3079614,2019-12-28
호수,경기도 광주시 중대동207-3번지,37.40723989,127.2147176,2019-12-28
호수,경기도 광주시 남한산성면 불당리377번지,37.45083639,127.2083065,2019-12-28
호수,경기도 광주시 태전동84-22번지,37.38319381,127.2304044,2019-12-28
호수,경기도 광주시 경안동14-7번지,37.41112515,127.2611842,2019-12-28
호수,경기도 광주시 오포읍 신현리305-3번지,37.36219302,127.1734058,2019-12-28
호수,경기도 광주시 도척면 유정리586-17번지,37.28746025,127.309196,2019-12-28
호수,경기도 광주시 퇴촌면 정지리561번지,37.45906769,127.3021301,2019-12-28
호수,경기도 광주시 탄벌동546-4번지,37.40918076,127.2387241,2019-12-28
호수,경기도 광주시 오포읍 양벌리254-2번지,37.3829519,127.2531492,2019-12-28
호수,경기도 광주시 곤지암읍 삼리550-2번지,37.35158068,127.311985,2019-12-28
호수,경기도 광주시 곤지암읍 삼리273-1번지,37.3542905,127.3131117,2019-12-28
호수,경기도 광주시 도척면 도웅리산41-14번지,37.33329151,127.2956307,2019-12-28
호수,경기도 광주시 퇴촌면 도수리산166-1번지,37.47178793,127.3441705,2019-12-28
호수,경기도 광주시 오포읍 신현리309-5번지,37.36382863,127.1714913,2019-12-28
호수,경기도 광주시 초월읍 대쌍령리148-1번지,37.39237224,127.2904489,2019-12-28
호수,경기도 광주시 오포읍 양벌리산118번지,37.37608989,127.2538268,2019-12-28
호수,경기도 광주시 장지동516번지,37.40685603,127.240137,2019-12-28
호수,경기도 광주시 오포읍 문형리815-24번지,37.34251269,127.2143864,2019-12-28
호수,경기도 광주시 곤지암읍 이선리498-1번지,37.35106617,127.4159583,2019-12-28
호수,경기도 광주시 오포읍 문형리535-47번지,37.34342803,127.2057091,2019-12-28
호수,경기도 광주시 오포읍 고산리484-7번지,37.37185453,127.2147472,2019-12-28
호수,경기도 광주시 도척면 궁평리709번지,37.33854194,127.3135596,2019-12-28
호수,경기도 광주시 도척면 진우리141번지,37.3282709,127.3408134,2019-12-28
호수,경기도 광주시 오포읍 신현리974번지,37.35378573,127.1392171,2019-12-28
호수,경기도 광주시 오포읍 신현리902-5번지,37.35819011,127.1389524,2019-12-28
호수,경기도 광주시 곤지암읍 곤지암리236번지,37.34012953,127.3522893,2019-12-28
호수,경기도 광주시 곤지암읍 곤지암리29-6번지,37.338297,127.3549909,2019-12-28
호수,경기도 광주시 퇴촌면 광동리3-2번지,37.46627942,127.3150071,2019-12-28
호수,경기도 광주시 오포읍 신현리768번지,37.35542074,127.1510169,2019-12-28
호수,경기도 광주시 오포읍 신현리341-22번지,37.36272861,127.166254,2019-12-28
호수,경기도 광주시 목동475번지,37.38323905,127.1872565,2019-12-28
호수,경기도 광주시 초월읍 지월리729-36번지,37.42063039,127.2859688,2019-12-28
호수,경기도 광주시 퇴촌면 도수리454번지,37.47192223,127.321626,2019-12-28
호수,경기도 광주시 도척면 궁평리707-3번지,37.33838105,127.3153442,2019-12-28
호수,경기도 광주시 오포읍 추자리455-46번지,37.36433862,127.2187089,2019-12-28
호수,경기도 광주시 퇴촌면 도수리392-26번지,37.46785566,127.3195826,2019-12-28
호수,경기도 광주시 직동79-3번지,37.40175572,127.1937661,2019-12-28
호수,경기도 광주시 탄벌동591번지,37.42064149,127.2343716,2019-12-28
호수,경기도 광주시 오포읍 양벌리산118번지,37.37608989,127.2538268,2019-12-28
호수,경기도 광주시 오포읍 양벌리1036-3번지,37.37599139,127.2524955,2019-12-28
호수,경기도 광주시 남한산성면 검복리3번지,37.47543206,127.20374,2019-12-28
호수,경기도 광주시 남한산성면 엄미리368번지,37.47128699,127.2268243,2019-12-28
호수,경기도 광주시 중대동287-1번지,37.40704206,127.2134206,2019-12-28
호수,경기도 광주시 곤지암읍 이선리553-1번지,37.35140739,127.421227,2019-12-28
호수,경기도 광주시 남한산성면 불당리294번지,37.45174344,127.2132588,2019-12-28
호수,경기도 광주시 퇴촌면 관음리732-2번지,37.45455052,127.3265525,2019-12-28
호수,경기도 광주시 곤지암읍 신대리12-5번지,37.35826731,127.3389939,2019-12-28
호수,경기도 광주시 남종면 삼성리403-3번지,37.47658498,127.2781453,2019-12-28
호수,경기도 광주시 도척면 궁평리770번지,37.34429338,127.3139814,2019-12-28
호수,경기도 광주시 오포읍 문형리215번지,37.34763802,127.2059922,2019-12-28
호수,경기도 광주시 남한산성면 오전리439번지,37.46035314,127.2193745,2019-12-28
호수,경기도 광주시 오포읍 신현리173번지,37.37002171,127.1744491,2019-12-28
호수,경기도 광주시 오포읍 문형리301-19번지,37.34911349,127.2178393,2019-12-28
호수,경기도 광주시 곤지암읍 삼리604-2번지,37.34716352,127.3116754,2019-12-28
호수,경기도 광주시 퇴촌면 도수리산166-1번지,37.47178793,127.3441705,2019-12-28
호수,경기도 광주시 남한산성면 불당리294번지,37.45174344,127.2132588,2019-12-28
호수,경기도 광주시 곤지암읍 유사리209번지,37.37782759,127.4193872,2019-12-28
호수,경기도 광주시 장지동513번지,37.40681764,127.2411765,2019-12-28
호수,경기도 광주시 오포읍 양벌리777-37번지,37.37080776,127.2578533,2019-12-28
호수,경기도 광주시 장지동511-2번지,37.40553478,127.2406586,2019-12-28
호수,경기도 광주시 오포읍 신현리1038번지,37.35055913,127.1391184,2019-12-28
호수,경기도 광주시 중대동156-2번지,37.40148433,127.2260273,2019-12-28
호수,경기도 광주시 오포읍 신현리1011번지,37.35138449,127.1435901,2019-12-28
호수,경기도 광주시 초월읍 신월리314-2번지,37.41122521,127.3122205,2019-12-28
호수,경기도 광주시 초월읍 지월리592-5번지,37.41517458,127.2912623,2019-12-28
호수,경기도 광주시 남종면 삼성리388-1번지,37.47826127,127.2767159,2019-12-28
호수,경기도 광주시 곤지암읍 삼리산22번지,37.34706089,127.3126244,2019-12-28
호수,경기도 광주시 도척면 진우리894-4번지,37.3088321,127.3535387,2019-12-28
호수,경기도 광주시 초월읍 대쌍령리148-5번지,37.39212828,127.2903383,2019-12-28
호수,경기도 광주시 곤지암읍 삼리256번지,37.35544502,127.3133044,2019-12-28
호수,경기도 광주시 초월읍 산이리41-6번지,37.35815383,127.3127041,2019-12-28
호수,경기도 광주시 송정동374-2번지,37.43043791,127.2544074,2019-12-28
호수,경기도 광주시 탄벌동592-1번지,37.42092343,127.2347755,2019-12-28
호수,경기도 광주시 남한산성면 엄미리647번지,37.47576532,127.2226968,2019-12-28
호수,경기도 광주시 오포읍 신현리90-11번지,37.37382143,127.1753334,2019-12-28
호수,경기도 광주시 태전동688번지,37.3872291,127.2385279,2019-12-28
