종교구분코드,종교시설명,지번주소,경도,위도,데이터기준일자
교회,순복음양문교회,경기도 광주시 초월읍 지월리398번지,127.2932132,37.41822677,2019-12-25
교회,수정교회,경기도 광주시 초월읍 쌍동리269-1번지,127.2964146,37.3777155,2019-12-25
수도원,임마누엘기도원,경기도 광주시 중대동191-2번지,127.2211788,37.40661138,2019-12-25
절,개원사,경기도 광주시 남한산성면 산성리200-1번지,127.185124,37.47445716,2019-12-25
교회,삼리주애교회,경기도 광주시 삼동294-12번지,127.1971929,37.41406257,2019-12-25
절,청명사,경기도 광주시 삼동233-3번지,127.1966722,37.40623956,2019-12-25
절,관음사,경기도 광주시 중대동294-15번지,127.2146905,37.40959686,2019-12-25
교회,경안제일교회,경기도 광주시 송정동302-13번지,127.2584352,37.42643741,2019-12-25
교회,대광교회,경기도 광주시 탄벌동21-2번지,127.2498965,37.41790331,2019-12-25
교회,퇴촌장로교회,경기도 광주시 퇴촌면 광동리164-1번지,127.3123708,37.46972744,2019-12-25
절,광덕사,경기도 광주시 탄벌동690-3번지,127.229808,37.41136103,2019-12-25
