구,업종명,사업장명,영업상태,인허가일자,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적(㎡),소재지전체주소,도로명전체주소,데이터기준일자
분당구,일반음식점,주박사,영업중,2014-09-19,-,-,-,-,45,경기도 성남시 분당구 야탑동 373-1번지 지층,"경기도 성남시 분당구 야탑로111번길 24 (야탑동, 지층)",2021-03-31
분당구,일반음식점,영심이 판교2호점,영업중,2014-09-19,-,-,-,-,35.28,경기도 성남시 분당구 삼평동 653 판교역 푸르지오시티 1층 110호,"경기도 성남시 분당구 대왕판교로606번길 45, 110호 (삼평동, 판교역 푸르지오시티 1층)",2021-03-31
분당구,일반음식점,유쾌한육회식당,영업중,2014-09-19,-,-,-,-,31.2,경기도 성남시 분당구 야탑동 380-7번지 1층일부,"경기도 성남시 분당구 장미로100번길 15-12 (야탑동, 1층일부)",2021-03-31
수정구,일반음식점,디안만두전골 (주)상원푸드,영업중,1999-11-20,-,-,-,-,133.09,"경기도 성남시 수정구 상적동 30-1번지 1층,2층","경기도 성남시 수정구 청계산로 617, 1층,2층 (상적동)",2021-03-31
중원구,일반음식점,미스터스시,영업중,2008-04-17,-,-,-,-,76.74,경기도 성남시 중원구 성남동 3238번지 1층,"경기도 성남시 중원구 광명로 14-1, 1층 (성남동)",2021-03-31
수정구,일반음식점,청년다방 위례신도시점,영업중,2018-05-28,-,-,-,-,61.52,"경기도 성남시 수정구 창곡동 509-2 우성트램타워, 1층 A동 112호","경기도 성남시 수정구 위례광장로 310, 우성트램타워 A동 1층 112호 (창곡동)",2021-03-31
중원구,일반음식점,오떡'S,영업중,2018-05-31,-,-,-,-,42.77,"경기도 성남시 중원구 도촌동 706번지 휴먼시아 섬마을, 1층 상가동 105호","경기도 성남시 중원구 도촌남로 101, 상가동 1층 105호 (도촌동, 휴먼시아 섬마을)",2021-03-31
분당구,일반음식점,우야지 막창 분당서현역점,영업중,2018-05-31,-,-,-,-,88.16,경기도 성남시 분당구 서현동 247-3번지 삼보프라자 3층 303호,"경기도 성남시 분당구 황새울로360번길 26, 삼보프라자 3층 303호 (서현동)",2021-03-31
수정구,일반음식점,천향,영업중,2018-06-01,-,-,-,-,329.85,"경기도 성남시 수정구 창곡동 509-2 우성트램타워, 3층 306호, 307호, 308호 B동","경기도 성남시 수정구 위례광장로 310, 우성트램타워 B동 3층 306호, 307호, 308호 (창곡동)",2021-03-31
분당구,일반음식점,도라분식,영업중,2018-06-01,-,-,-,-,68.06,경기도 성남시 분당구 백현동 537 알파돔타워 주건축물제1동 2층 일부,"경기도 성남시 분당구 판교역로 152, 알파돔타워 주건축물제1동 2(일부)층 (백현동)",2021-03-31
