업종명,업소명,소재지(도로명),소재지전화
일반음식점,단밥,"경기도 하남시 검단산로 349-25 (창우동,(1,2층))", 031- 793-7621
일반음식점,와그너치킨,"경기도 하남시 역말로 17-1 (덕풍동,(1층))", 031- 796-3700
일반음식점,보리향,"경기도 하남시 서하남로 445, 1층 (춘궁동)", 031- 791-0332
일반음식점,먹거리순대국,"경기도 하남시 수리북로 14-1 (덕풍동,(지층))", 031- 793-6722
일반음식점,돼지국밥,"경기도 하남시 수리북로 18 (덕풍동,(1층))",031 -794 -0609
일반음식점,산성가든,"경기도 하남시 학암로 32-8 (감이동,(1층))",  02- 409-8593
일반음식점,보훈식당,"경기도 하남시 신장1로9번길 57-3 (신장동, 지하)", 031- 794-8609
일반음식점,네네치킨,"경기도 하남시 하남대로777번길 37 (신장동,(1층))", 031- 795-1120
일반음식점,달마당,"경기도 하남시 덕풍천서로 87 (신장동,(1,2층))", 031- 792-0007
일반음식점,북경,"경기도 하남시 수리북로 2, 1층 (덕풍동)", 031- 795-3131
일반음식점,하남치킨호프,"경기도 하남시 신장1로 15 (신장동,(1층))", 031- 793-5516
일반음식점,대성집,"경기도 하남시 검단산로 329, 1,2층 (창우동)", 031- 794-4678
일반음식점,장어의 꿈,"경기도 하남시 서하남로 15, 1,2층 (감북동)",  02- 476-4193
일반음식점,이모네소머리국밥,"경기도 하남시 대성로261번길 5 (덕풍동,(1층))", 031- 795-5040
일반음식점,하남동래복국,"경기도 하남시 미사대로 592 (덕풍동,(1층))", 031- 796-0855
일반음식점,통키식당,"경기도 하남시 신평로55번길 14, 1층 (덕풍동)",031 -791 -0302
일반음식점,신장닭발,"경기도 하남시 신평로 60-2, 1층 (신장동)",031 - 794-3555
일반음식점,광주가든,"경기도 하남시 미사동로40번길 67, 1층 (미사동)", 031- 791-2489
일반음식점,리마리 명품 청국장,"경기도 하남시 천현로 146 (창우동,(1층))", 031- 796-3737
일반음식점,까치산장,"경기도 하남시 초광로46번길 33-20 (광암동,(1층))",  02- 475-6069
일반음식점,그랜드캐넌,"경기도 하남시 미사동로40번길 229 (미사동,(1,2층))", 031- 791-9889
일반음식점,온누리장작구이 하남점,"경기도 하남시 서하남로 356, 1,2층 (춘궁동)", 031- 795-9392
일반음식점,이가네,"경기도 하남시 하남대로861번안길 29 (덕풍동,(1층))", 031- 791-0665
일반음식점,대박포차,"경기도 하남시 신장1로9번길 19, 1층 (신장동)", 031- 791-3976
일반음식점,백남옥달인손만두 하남점,"경기도 하남시 신장로 136 (덕풍동,(1층))", 031- 792-9494
일반음식점,곰비님비,"경기도 하남시 하남대로801번길 65 (신장동,103호   1층)", 031- 792-4760
일반음식점,권현숙의 미사리 팔당냉면,"경기도 하남시 미사대로 624 (신장동,외 3필지(1층))",031 - 793- 686
일반음식점,수협바다회상,"경기도 하남시 대청로22번길 17, 1층 2호 (신장동)", 031- 794-0781
일반음식점,황궁,"경기도 하남시 신장로 196 (덕풍동,(1층))", 031- 795-2051
일반음식점,오천량주막,"경기도 하남시 신장1로15번길 8 (신장동,외1필집(1층))",031 -793 -9804
일반음식점,딜리버리킹 덕풍,"경기도 하남시 신장로178번길 5 (덕풍동,(1층))",031 -8028-1037
일반음식점,청솔,"경기도 하남시 하남대로 43, 1,2층 (상산곡동)", 031- 793-3326
일반음식점,미사리 풀하우스,"경기도 하남시 미사동로40번길 274 (미사동,(1층))", 031- 792-1177
일반음식점,자연식당,"경기도 하남시 하남대로855번길 46 (덕풍동,(1층))", 031- 794-8675
일반음식점,오늘,"경기도 하남시 고골로262번길 178, 1층 (항동)", 031- 793-4159
일반음식점,피자에땅(천현점),"경기도 하남시 천현로 31-1 (신장동,(1층))", 031- 793-5335
일반음식점,아리수숯불갈비,"경기도 하남시 대청로22번길 9-17, 1층 (신장동)", 031- 792-8900
일반음식점,솔밭,"경기도 하남시 대성로 85 (춘궁동,(1층))", 031- 793-9234
일반음식점,재호순대국&부대찌개,"경기도 하남시 하남대로 536 (천현동,(1층))", 031- 796-3845
일반음식점,시골 논두렁 추어탕,"경기도 하남시 하남대로787번길 62, 1층 (신장동)",031 -792 -2079
일반음식점,광릉불고기,"경기도 하남시 검단산로 349-15, 1층 (창우동)", 031- 792-1297
일반음식점,미래,"경기도 하남시 신장로 168 (덕풍동,,392-8,389-2(2층))", 031- 792-4110
일반음식점,왕대박,"경기도 하남시 하남대로 226 (상산곡동,(1층))", 031- 793-8944
일반음식점,호남집,경기도 하남시 대성로299번길 39 (신장동), 031- 796-1612
일반음식점,강가네 옛날통닭,"경기도 하남시 수리북로 5-4 (덕풍동,(1층))", 031- 791-4342
일반음식점,김보성 star.s,"경기도 하남시 미사대로 612 (덕풍동,37-2(1,2층))", 031- 791-2921
일반음식점,여수식당,"경기도 하남시 대청로 119, 지층 114호 (창우동, 부영상가)", 031- 791-1778
일반음식점,이타리아치킨,"경기도 하남시 대성로 78 (하사창동,(1층))", 031- 792-7738
일반음식점,토속 밀냉면.칼국수,"경기도 하남시 대성로299번길 39, 1층 (신장동, 외1필지)", 031- 791-6354
일반음식점,형노가(5호점),"경기도 하남시 역말로 30, 지층 (덕풍동)", 031- 792-9821
일반음식점,포레리버5972,"경기도 하남시 서하남로 278-3 (광암동,외 1필지(1층))",  02- 478-6635
일반음식점,가마솥밥상,"경기도 하남시 천현로39번길 9 (신장동,(1층))", 031- 791-4985
일반음식점,인천찹쌀순대,"경기도 하남시 수리북로 17-5 (덕풍동,1층)", 031- 793-5010
일반음식점,하남 임가네 부대찌개,"경기도 하남시 하남대로801번길 36 (신장동,외1필지(1층))", 031- 792-1888
일반음식점,별미집,"경기도 하남시 학암로10번길 8, 1층 (학암동)",  02- 407-4603
일반음식점,자금성,<REPLACE>,  02- 477-3341
일반음식점,불타는호프,"경기도 하남시 신장1로15번길 29 (신장동,(1층))", 031- 795-1293
일반음식점,옛날통닭,경기도 하남시 신장로 173 (덕풍동), 031- 792-7200
일반음식점,고구려생삼겹살,"경기도 하남시 대청로 5, 1층 (신장동)", 031- 791-0550
일반음식점,천지해 왕대통 수라찜,"경기도 하남시 서하남로390번길 86 (춘궁동,(1,2층))", 031- 792-9480
일반음식점,HOJA(호자),"경기도 하남시 신평로 3-1, 1층 (덕풍동)", 031- 792-1900
일반음식점,서부한우숯불구이,"경기도 하남시 서하남로 43 (감북동,(1층))",  02- 485-0412
일반음식점,무봉리토종순대국,"경기도 하남시 하남대로 574 (천현동,(1층))", 031- 792-6988
일반음식점,상화울가든,"경기도 하남시 초일로174번길 33, 1,2층 (초일동)", 031- 793-0093
일반음식점,덕풍골칡냉면,"경기도 하남시 수리남로5번길 21 (덕풍동,(1층))", 031- 791-3830
일반음식점,수막새,"경기도 하남시 서하남로451번길 13-13 (춘궁동,,5 (1층))", 031- 793-8932
일반음식점,명품관화로구이,"경기도 하남시 서하남로390번길 80 (춘궁동,(1,2층))", 031- 794-9266
일반음식점,양평해장국,"경기도 하남시 서하남로 132, 1층 (감일동)", 02 -488 -5441
일반음식점,장충할매왕족발,"경기도 하남시 하남대로777번길 28 (신장동,(1층))", 031- 796-8382
일반음식점,할매순대국,"경기도 하남시 신장로 171 (덕풍동,외1필지(1층))", 031- 795-7117
일반음식점,내고향빈대떡,"경기도 하남시 수리북로 27 (덕풍동,,130(1층))", 031- 791-7056
일반음식점,페리카나,"경기도 하남시 신장로 104, 1층 104, 105, 106호 (신장동)", 031- 793-9933
일반음식점,박가네 식당,"경기도 하남시 감초로 45 (감북동,(1층))",02  -486 -6944
일반음식점,청솔돌오리구이,"경기도 하남시 천현로 144, 1층 (창우동)", 031- 793-5295
일반음식점,우리집식당,"경기도 하남시 역말로24번길 39 (덕풍동,(1층))", 080- 794-1717
일반음식점,토박이,"경기도 하남시 고골로398번길 71 (상사창동,(1,2층))", 031- 793-5220
일반음식점,소문난삼거리식당,"경기도 하남시 대성로319번길 9 (덕풍동,(1층))", 031- 795-4102
일반음식점,백초묵은삼겹살,"경기도 하남시 신장1로27번길 56 (신장동,(1층))", 031- 794-0206
일반음식점,서오릉다슬기해장국,"경기도 하남시 산곡동로 7, 1,지층 (하산곡동)", 031- 793-5230
일반음식점,초원의집,"경기도 하남시 신장1로3번길 18, 1층 (신장동)", 031- 793-2332
일반음식점,복돼지솥뚜껑생삼겹살,"경기도 하남시 신장1로3번길 20 (신장동,(1층))", 031- 795-4489
일반음식점,산촌,"경기도 하남시 서하남로 278-13 (광암동,(1층))",02  -475 -9952
일반음식점,구림장어,경기도 하남시 미사대로 1260 (배알미동),031 - 793-9909
일반음식점,동경주산채나물집,"경기도 하남시 신장로 37, 1층 (천현동)", 031- 792-2301
일반음식점,왕바리냉바리,"경기도 하남시 하남대로801번길 48 (신장동,(1층))",031 -796 -0155
일반음식점,뚱뎅이감자탕,"경기도 하남시 미사강변동로 125, 미사푸르지오시티 A동 2층 S202호 (망월동)", 031- 795-0605
