시군명,명소명,주소,유형,용도,데이터기준일자,정제도로명주소,정제지번주소,정제우편번호,정제WGS84위도,정제WGS84경도
성남시,새마을운동중앙연수원 구)새마을지도자 연수원,경기도 성남시 분당구 율동 200,건축물,교육연구 시설,2021-02-19,경기도 성남시 분당구 새마을로 257,경기도 성남시 분당구 율동 200,13575,37.3901789525,127.1563469512
성남시,금토동 주택,경기도 성남시 수정구 금토동 107-2,건축물,단독주택,2021-02-19,경기도 성남시 수정구 달래내로221번길 28,경기도 성남시 수정구 금토동 107-2,13450,37.4175245539,127.0777591806
수원시,수원시휴먼서비스센터 구)권선동사무소,경기도 수원시 권선구 권선동 1165,건축물,제1종 근린생활 시설,2021-02-19,경기도 수원시 권선구 권선로 754,경기도 수원시 권선구 권선동 1165,16562,37.2571731961,127.0334690017
수원시,아주대학교 에너지센터,경기도 수원시 영통구 원천동 산5,건축물,교육연구 시설,2021-02-19,,경기도 수원시 영통구 원천동 산5,,37.2833457572,127.0464761597
수원시,경기대학교 텔레컨벤션센터,경기도 수원시 영통구 이의동 산94-6,건축물,교육연구 시설,2021-02-19,경기도 수원시 영통구 광교산로 154-42,경기도 수원시 영통구 이의동 산94-6,16227,37.2980139010,127.0331153297
수원시,수원시 연화장,경기도 수원시 영통구 하동 25,건축물,묘지관련 시설,2021-02-19,,경기도 수원시 영통구 하동 25,16511,37.2903986504,127.0845751288
안산시,선부동 마을만들기,경기도 안산시 단원구 선부동,공간환경,마을,2021-02-19,,경기도 안산시 단원구 선부동,,,
안산시,안산 상록구 사할린 고향마을 용하운동장,경기도 안산시 상록구 사동 1535-2,공간환경,공원,2021-02-19,,경기도 안산시 상록구 사동 1535-2,15501,37.3048135679,126.8547369586
안성시,우리은행 안성연수원,경기도 안성시 공도읍 마정리 339-1621,건축물,교육연구 시설,2021-02-19,,경기도 안성시 공도읍 마정리 339-1621,17548,,
안성시,안성맞춤박물관,경기도 안성시 대덕면 내리 산57,건축물,문화 및 집회시설,2021-02-19,,경기도 안성시 대덕면 내리 산57,17546,37.0111659479,127.2291854889
안양시,관양동 J&J빌딩,경기도 안양시 동안구 관양동 1433-22,건축물,단독주택,2021-02-19,경기도 안양시 동안구 관악대로 399,경기도 안양시 동안구 관양동 1433-22,13939,37.4050172940,126.9671209284
안양시,금강펜테리움 IT타워,경기도 안양시 동안구 관양동 810,건축물,업무시설,2021-02-19,경기도 안양시 동안구 학의로 282,경기도 안양시 동안구 관양동 810,14056,37.4009700962,126.9691155194
안양시,안양시립비산도서관,경기도 안양시 동안구 비산동 459-56,건축물,교육연구 시설,2021-02-19,경기도 안양시 동안구 관악대로 123,경기도 안양시 동안구 비산동 459-56,13922,37.3991120357,126.9376519309
안양시,대림대학 홍지관,경기도 안양시 동안구 비산동 526-7,건축물,교육연구 시설,2021-02-19,경기도 안양시 동안구 임곡로 29,경기도 안양시 동안구 비산동 526-7,13916,37.4032880854,126.9306832691
안양시,G.Square 롯데백화점 평촌점,경기도 안양시 동안구 호계동 1039,건축물,판매시설,2021-02-19,경기도 안양시 동안구 시민대로 180,경기도 안양시 동안구 호계동 1039,14073,37.3899508706,126.9503840690
안양시,중앙성당,경기도 안양시 만안구 안양동 627-75,건축물,종교시설,2021-02-19,경기도 안양시 만안구 장내로 116,경기도 안양시 만안구 안양동 627-75,13997,37.3961015450,126.9208634411
안양시,안양예술공원,경기도 안양시 만안구 안양동 산21,공간환경,공원,2021-02-19,,경기도 안양시 만안구 안양동 산21,,,
양평군,복지교회 리노베이션,경기도 양평군 용문면 신점리 575-1,건축물,종교시설,2021-02-19,경기도 양평군 용문면 도매기길 76,경기도 양평군 용문면 신점리 575-1,12510,37.5428752497,127.5794208861
여주시,알로에 마임비전빌리지,경기도 여주군 능서면 용은리 443,공간환경,교육연구 시설,2021-02-19,,경기도 여주군 능서면 용은리 443,12640,37.2924710640,127.5397531038
