,name,main_category,sub_category
580,사려니숲길,도보,생태·숲길
581,한라산어리목코스,도보,생태·숲길
582,환상숲 곶자왈공원,도보,생태·숲길
583,붉은오름 자연휴양림,도보,생태·숲길
584,제주곶자왈도립공원,도보,생태·숲길
585,곶자왈,도보,생태·숲길
586,천아숲길 천아계곡,도보,생태·숲길
587,청수곶자왈,도보,생태·숲길
588,화순곶자왈생태탐방숲길,도보,생태·숲길
589,무릉곶자왈,도보,생태·숲길
590,숫모르편백나무숲길,도보,생태·숲길
591,볼레낭길,도보,생태·숲길
592,산양곶자왈,도보,생태·숲길
593,서광리 곶자왈생태탐방로,도보,생태·숲길
594,덕천리 팔자 좋아 길,도보,생태·숲길
595,삼다수숲길 지질트레일,도보,생태·숲길
596,장생의 숲길,도보,생태·숲길
597,제주신화전설탐방로,도보,생태·숲길
598,환상숲곶자왈 담앙족욕,도보,생태·숲길
599,추사 유배길 - 3코스 사색의 길,도보,종교·순례·유배길
600,추사 유배길 - 2코스 인연의 길,도보,종교·순례·유배길
601,기독교순례길 1코스(순종의길),도보,종교·순례·유배길
602,기독교순례길 2코스(순교의길),도보,종교·순례·유배길
603,기독교순례길 3코스(사명의길),도보,종교·순례·유배길
604,기독교순례길 4코스(화해의길),도보,종교·순례·유배길
605,제주기독교순례길,도보,종교·순례·유배길
606,제주불교성지 순례길 절로 가는길 - 보시의 길,도보,종교·순례·유배길
607,제주불교성지 순례길 절로 가는길 - 인욕의 길,도보,종교·순례·유배길
608,제주불교성지 순례길 절로 가는길 - 정진의 길,도보,종교·순례·유배길
609,제주불교성지 순례길 절로 가는길 - 지계의 길,도보,종교·순례·유배길
610,제주불교성지 순례길 절로가는길 - 선정의 길,도보,종교·순례·유배길
611,천주교 순례길 - 김기량길,도보,종교·순례·유배길
612,천주교 순례길 - 김대건길,도보,종교·순례·유배길
613,천주교 순례길 - 신축화해길,도보,종교·순례·유배길
614,천주교 순례길 - 하논성당길,도보,종교·순례·유배길
615,천주교길 정난주길(고통의길),도보,종교·순례·유배길
616,추사 유배길 - 1코스 집념의 길,도보,종교·순례·유배길
617,중문골프장,레저/체험,골프
618,라온골프클럽,레저/체험,골프
619,클럽나인브릿지,레저/체험,골프
620,제주롯데스카이힐컨트리클럽,레저/체험,골프
621,핀크스 골프클럽,레저/체험,골프
622,골프탕탕,레저/체험,골프
623,부영컨트리클럽,레저/체험,골프
624,세인트포골프장,레저/체험,골프
625,스프링데일CC,레저/체험,골프
626,에버리스 골프리조트,레저/체험,골프
627,제주레이크힐스컨트리클럽,레저/체험,골프
628,제주컨트리클럽,레저/체험,골프
629,제주힐CC,레저/체험,골프
630,중문컨트리클럽,레저/체험,골프
631,해비치컨트리클럽제주,레저/체험,골프
632,제주레포츠랜드,레저/체험,ATV / 카트
633,성읍랜드,레저/체험,ATV / 카트
634,9.81 파크,레저/체험,ATV / 카트
635,세리월드 테마파크,레저/체험,ATV / 카트
636,신비의도로카트체험장,레저/체험,ATV / 카트
637,제주카트클럽,레저/체험,ATV / 카트
638,대유ATV수렵사격랜드,레저/체험,ATV / 카트
639,더마카트,레저/체험,ATV / 카트
640,송악카트체험장,레저/체험,ATV / 카트
641,우도보물섬레져,레저/체험,ATV / 카트
642,우도봉 ATV,레저/체험,ATV / 카트
643,윈드1947 카트 테마파크,레저/체험,ATV / 카트
644,조랑말체험공원,레저/체험,승마
645,낙타트래킹,레저/체험,승마
646,라온승마클럽,레저/체험,승마
647,성읍랜드,레저/체험,승마
648,송당승마장,레저/체험,승마
649,어승생승마장 Horseland Jeju,레저/체험,승마
650,거문오름승마체험장,레저/체험,승마
651,서광승마장,레저/체험,승마
652,쇠와꽃 승마장,레저/체험,승마
653,노을승마장,레저/체험,승마
654,세리월드 테마파크,레저/체험,승마
655,알프스승마장포니,레저/체험,승마
656,제주승마공원,레저/체험,승마
657,성읍승마장,레저/체험,승마
658,옷귀마테마타운,레저/체험,승마
659,우도징기스칸승마체험,레저/체험,승마
660,제주에코승마장(구.제주승마장),레저/체험,승마
661,제주오름승마랜드,레저/체험,승마
662,제주힐링명상센터,레저/체험,승마
663,조은승마장,레저/체험,승마
664,중문승마공원,레저/체험,승마
665,한라승마장,레저/체험,승마
666,제주하늘을날다(패러글라이딩),레저/체험,패러글라이딩
667,제주 패러글라이딩 스쿨,레저/체험,패러글라이딩
668,제주베스트힐 열기구랜드,레저/체험,패러글라이딩
669,하늘여행 행글라이더체험장,레저/체험,패러글라이딩
670,제주실탄사격장,레저/체험,수렵/활쏘기
671,서귀포 궁도장(천지정),레저/체험,수렵/활쏘기
672,제주힐링명상센터,레저/체험,수렵/활쏘기
673,서귀포잠수함(대국해저관광),레저/체험,해양스포츠
674,퍼시픽 리솜 요트투어 샹그릴라,레저/체험,해양스포츠
675,월정리 카약체험장,레저/체험,해양스포츠
676,우도잠수함(제주씨월드),레저/체험,해양스포츠
677,그랑블루 요트투어,레저/체험,해양스포츠
678,서귀포유람선,레저/체험,해양스포츠
679,익스트림제주카약올레,레저/체험,해양스포츠
680,곽지레저 & 서프나우,레저/체험,해양스포츠
681,김녕요트투어,레저/체험,해양스포츠
682,그제바람 윈드서핑패들보드,레저/체험,해양스포츠
683,애월 한담 카약,레저/체험,해양스포츠
684,그린크루즈(산방산유람선),레저/체험,해양스포츠
685,해적잠수함,레저/체험,해양스포츠
686,화순금모래해수욕장담수수영장,레저/체험,해양스포츠
687,쇠소깍제트,레저/체험,해양스포츠
688,우도올레보트,레저/체험,해양스포츠
689,제주바다체험장,레저/체험,해양스포츠
690,제주워터월드,레저/체험,해양스포츠
691,제주제트,레저/체험,해양스포츠
692,차귀도요트,레저/체험,해양스포츠
693,케이제주씨워킹,레저/체험,해양스포츠
694,타보카 월정리투명카약,레저/체험,해양스포츠
695,(주)제주해양레저 투명카약,레저/체험,해양스포츠
696,고포잇다이브센터,레저/체험,해양스포츠
697,굿다이버,레저/체험,해양스포츠
698,그랑블루호(선상낚시),레저/체험,해양스포츠
699,김서프제주,레저/체험,해양스포츠
700,문서프,레저/체험,해양스포츠
701,서귀포 다이브센터,레저/체험,해양스포츠
702,스쿠버스쿨,레저/체험,해양스포츠
703,애월스쿠버다이빙스쿨,레저/체험,해양스포츠
704,용연카누클럽,레저/체험,해양스포츠
