,category,name,location,tag,like,pick,review,rating
99,음식점,레드팬더,제주시내,"['중식 ', '짬뽕 ', '짜장']",7,9,7,5
100,음식점,마마롱(애월),애월,"['카페 ', '디저트 ', '커피 ', '에끌레어']",0,27,7,5
101,음식점,만덕이네,표선,"['향토음식 ', '갈치조림 ', '두루치기 ', '접짝뼈국']",0,90,7,4
102,음식점,만선식당,대정,"['횟집 ', '고등어회 ', '고등어조림 ', '한치회']",0,42,7,5
103,음식점,망고홀릭 제주본점,제주시내,"['망고 ', '카페 ', '퓨전음식디저트 ', '신선로코코넛빙수 ', '망고홀릭디저트']",3,20,7,5
104,음식점,스시호시카이,제주시내,"['스시 ', '일식 ', '오마카세 ', '회 ', '초밥']",1,27,7,5
105,음식점,신설오름,제주시내,"['몸국 ', '돔베고기 ', '한치회 ', '한치물회']",0,41,7,4
106,음식점,연화키친,애월,"['오징어치즈떡볶이 ', '파스타 ', '리조또']",0,20,7,4
107,음식점,오라숲소리,제주시내,"['매화한정식 ', '흑돼지떡갈비 ', '한식']",6,77,7,5
108,음식점,와랑와랑카페,남원,"['카페 ', '영귤차 ', '영귤에이드 ', '감귤스무디 ', '찰떡구이']",1,33,7,5
109,음식점,지금이순간,애월,"['카페 ', '드립커피 ', '수제티라미수']",0,15,7,4
110,음식점,카이로스,애월,"['카페 ', '브런치 ', '오가닉카페 ', '유기농']",0,21,7,5
111,음식점,카페쉼표,한림,"['커피 ', '빙수']",1,73,7,5
112,음식점,흑돈가,제주시내,"['근고기 ', '흑돼지 ', '멜젓 ', '숯불구이']",1,99,7,5
113,음식점,흑돼지구이집 하영,중문,"['흑돼지 ', '양념갈비 ', '전복어 ', '한식']",5,130,7,4
114,음식점,갓포하루,중문,"['일식 ', '사시미 ', '회 ', '갓포요리 ', '이자카야']",14,40,6,5
115,음식점,기억나는집,서귀포시내,"['해물탕 ', '전복 ', '갈치조림']",0,23,6,4
116,음식점,김희선몸국,제주시내,"['몸국 ', '향토음식 ', '한식']",7,143,6,5
117,음식점,낭뜰에쉼팡,조천,"['낭뜰정식 ', '한식 ', '비빔밥']",1,91,6,5
118,음식점,더파크뷰(신라호텔),중문,"['뷔페 ', '호텔뷔페 ', '브런치뷔페']",3,13,6,5
119,음식점,랜딩 다이닝(Landing dining),안덕,"['뷔페 ', ' 양식 ', ' 랜딩다이닝']",5,5,6,5
120,음식점,북촌에가면,조천,"['카페 ', '커피 ', '디저트 ', '정원']",3,32,6,5
121,음식점,사계바다,안덕,"['갈치 ', '전복 ', '오징어 ', '횟집']",1,41,6,5
122,음식점,산도롱맨도롱,성산,"['고기국수 ', '돔베고기 ', '왕만두 ', '주먹밥']",2,30,6,5
123,음식점,쌀다방,제주시내,"['카페 ', '라떼 ', '밀크티 ', '에이드 ', '쌀다방라떼']",1,18,6,5
124,음식점,쌍둥이횟집본점,서귀포시내,"['회 ', '횟집 ', '초밥 ', '스시 ', '생선구이']",2,71,6,5
125,음식점,아라파파 a la papa,제주시내,"['베이커리 ', '홍차밀크잼 ', '제주도3대빵집']",2,55,6,4
126,음식점,아시안 푸드 스트리트,안덕,"['푸드트럭 ', '우육면 ', '꼬치구이']",5,9,6,5
127,음식점,전설의마녀,애월,"['돈까스 ', '볶음밥 ', '떡볶이 ', '낙지해물생라면 ', '전보해물볶음밥']",0,18,6,4
128,음식점,제주미향,중문,"['통갈치구이 ', '회 ', '조림 ', '횟집 ', '한식']",2,41,6,3
129,음식점,제주올레냉면 제주노형점,제주시내,"['냉면 ', '비빔냉면 ', '물냉면']",7,27,6,5
130,음식점,젠하이드어웨이,안덕,"['차롱박스 ', '까수엘라 ', '팟타이 ', '디저트 ', '케이크']",4,25,6,4
131,음식점,천해천,제주시내,"['샤브샤브 ', '뷔페 ', '전복돌솥밥 ', '쇠고기 ', '양고기 ', '무슬림프렌들리']",1,83,6,5
132,음식점,치저스,구좌,"['스테이크 ', '치즈 ', '양식']",0,42,6,5
