,category,name,location,tag,like,pick,review,rating
799,숙박,추자바다25시,추차도,"['낚시민박 ', '추자묵리 ', '추자도']",0,0,0,0
800,숙박,추자섬민박,추차도,"['후포해변 ', '나바론하늘길 ', '추자조식 ', '추자도']",0,0,0,0
801,숙박,추자피싱랜드,추차도,"['추자카페 ', '추자숙박 ', '추자도']",0,0,0,0
802,관광지,취다선리조트,성산,"['오조리 ', ' 웰니스 ', ' 명상 ', ' 차실']",1,1,0,0
803,숙박,카사마리나,표선,['펜션'],0,1,0,0
804,숙박,카이리조트,한림,['휴식'],1,3,0,0
805,숙박,캐빈타운,애월,['펜션'],0,0,0,0
806,숙박,캐슬 드 한림,한림,['펜션'],0,0,0,0
807,숙박,캠퍼트리호텔앤리조트,제주시내,['호텔'],0,5,0,0
808,숙박,케이관광호텔제주,제주시내,['호텔'],0,0,0,0
809,숙박,켄싱턴리조트 서귀포,서귀포시내,"['부모 ', '친구 ', '커플 ', '아이 ', '휴식 ', '리조트']",0,2,0,0
810,숙박,코델리아리조트,성산,['휴식'],2,11,0,0
811,숙박,코자호텔,대정,['호텔'],0,3,0,0
812,숙박,코코스펜션,한림,['휴식'],0,1,0,0
813,숙박,콤마게스트하우스,표선,['휴식'],0,1,0,0
814,숙박,콤포스텔라 별들의들판,한림,"['귀덕 ', ' 게스트하우스 ', '']",0,1,0,0
815,숙박,쿨쿨하우스,서귀포시내,['게스트하우스'],1,0,0,0
816,숙박,클럽ES리조트 제주,서귀포시내,"['힐링 ', ' 휴식 ', ' 하원 ', ' 리조트']",0,0,0,0
817,숙박,클로버비앤비,성산,['휴식'],0,0,0,0
818,숙박,킴스캐빈,성산,['휴식'],0,3,0,0
819,숙박,킹스통나무,애월,['휴식'],0,0,0,0
820,숙박,타미우스골프앤빌리지,애월,['휴식'],0,0,0,0
821,숙박,탐라누리,성산,['휴식'],0,0,0,0
822,숙박,탐탐56,구좌,['게스트하우스'],0,2,0,0
823,숙박,탑팰리스호텔,제주시내,['호텔'],0,0,0,0
824,숙박,태성민박,추차도,"['추자민박 ', '추자투어 ', '추자도']",0,0,0,0
825,숙박,태흥리조트,남원,['호텔'],0,0,0,0
826,숙박,태흥여관,추차도,"['추자모텔 ', '추자숙소 ', '추자도']",0,0,0,0
827,숙박,탱자탱자게스트하우스,애월,"['휴식 ', ' 애월 ', ' 게스트하우스']",0,0,0,0
828,숙박,테디밸리호텔,안덕,['호텔'],0,1,0,0
829,숙박,테마하우스,제주시내,['펜션'],0,0,0,0
830,숙박,토리코티지카레클린트,애월,['휴식'],0,0,0,0
831,숙박,토마토하우스,성산,['펜션'],0,0,0,0
832,숙박,토토하우스,애월,['.'],0,1,0,0
833,숙박,투데이제주펜션,서귀포시내,['휴식'],0,1,0,0
834,숙박,파더하우스,애월,['휴식'],0,0,0,0
835,숙박,파도봐펜션,남원,"['남원 ', ' 펜션 ', ' 오션뷰']",0,0,0,0
836,숙박,파미유스파리조트,서귀포시내,[],0,1,0,0
837,숙박,파밀리아호텔,서귀포시내,['호텔'],0,0,0,0
838,숙박,파인비치,남원,['휴식'],0,0,0,0
839,숙박,파인힐호텔,서귀포시내,['호텔'],0,1,0,0
840,숙박,파크빌리지,애월,['펜션'],0,1,0,0
841,숙박,파크사이드호텔,제주시내,['호텔'],0,1,0,0
842,숙박,팔도민박,마라도,['마라도'],0,0,0,0
843,숙박,팜밸리리조트,서귀포시내,['휴식'],0,1,0,0
844,숙박,팜빌리지,서귀포시내,['휴식'],0,0,0,0
845,숙박,팜힐,서귀포시내,['민박'],0,0,0,0
846,숙박,패밀리아팬션,표선,['휴식'],0,0,0,0
847,숙박,펜션 수망가라,남원,"['커플 ', '부모 ', '친구 ', '휴식/힐링 ', '사계절']",0,1,0,0
848,숙박,펜션 에덴호스텔,제주시내,['휴식'],0,0,0,0
849,숙박,펜션연리,서귀포시내,['휴식'],0,0,0,0
850,숙박,펜션해다미,제주시내,['휴식'],0,0,0,0
851,숙박,펜션형민박꿈꾸는숲,서귀포시내,['펜션'],0,0,0,0
852,숙박,펠리스타운,성산,['휴식'],0,1,0,0
853,숙박,포비네오두막게스트하우스,구좌,['휴식'],0,1,0,0
854,숙박,포시즌펜션,서귀포시내,['휴식/힐링'],0,0,0,0
855,숙박,포유펜션,남원,['펜션'],0,0,0,0
856,숙박,포지타노인제주,성산,['휴식'],0,1,0,0
857,숙박,폴라리스인제주,애월,['펜션'],0,1,0,0
858,숙박,폴리폴리,표선,['펜션'],0,1,0,0
