,장소,부모님,아이,친구,커플,친척,가족,지인,연인,혼자,둘,셋,넷
597,오름,0.25249785,0.25531417,0.25537345,0.22995919,0.17980579,0.24695718,0.24389881,0.23158738,0.27998677,0.2522158,0.19686733,0.1648911
598,가메,,,,,,,,,,,,
599,뫼물,0.32203633,0.384991,0.35321122,0.22150952,0.289951,0.3802162,0.32418874,0.3235364,0.22300047,0.23203366,0.22894293,0.2482918
600,가문,0.17846417,0.08117896,0.12371215,0.14262858,0.32187435,0.19789296,0.10699049,0.21837804,0.074679404,0.22052509,0.20596318,0.19781291
601,가세,0.22300619,0.19192825,0.20853537,0.16654998,0.15401807,0.15049468,0.19276272,0.16414069,0.23831445,0.22184569,0.24329112,0.07499634
602,가파,,,,,,,,,,,,
603,시바,0.10554675,0.16302904,0.21347165,0.19865614,0.18863632,0.17656612,0.14815387,0.22698918,0.14765665,0.19910915,0.18878628,0.23975523
604,간세,0.13715862,0.24408458,0.2244091,0.2034877,0.05094428,0.15670672,0.22303611,0.24014314,0.22876668,0.17244431,0.12299089,0.12606692
605,웨빵,0.35734874,0.35455588,0.37794018,0.2988657,0.3158893,0.31752896,0.36013144,0.32568794,0.31126723,0.37280068,0.2931245,0.3193136
606,감수,0.22614747,0.18157241,0.17092174,0.122357026,0.22319797,0.20336968,0.14823581,0.1813477,0.2266382,0.22261408,0.13868894,0.13211718
607,갑자기,0.22789636,0.25453576,0.3663324,0.2206862,0.27718025,0.24827836,0.26695377,0.1669842,0.35459566,0.3529298,0.24831146,0.21597734
608,전시관,0.1586869,0.21560548,0.14657632,0.12043685,0.103583276,0.1607666,0.18598053,0.16706833,0.12636739,0.093305595,0.15492685,0.14292967
609,강병,0.20381163,0.18715346,0.16767678,0.1058175,0.326454,0.19014595,0.2304636,0.14872989,0.20036781,0.18969634,0.18024409,0.15497027
610,어촌,0.23260769,0.13394108,0.1841618,0.094639845,0.19701594,0.18980405,0.21336378,0.14213625,0.1592486,0.13830236,0.049936265,0.11493544
611,개오리오름,0.23419923,0.2913766,0.29062322,0.23669314,0.22405675,0.2567665,0.2226462,0.2075054,0.32176206,0.3543697,0.37963554,0.24817938
612,갤러리,0.12255527,0.16829056,0.12992363,0.14664692,0.049644314,0.12288726,0.14238073,0.15891175,0.09319778,0.0680563,0.059860215,0.20278734
613,거린,0.17875867,0.2571945,0.29175693,0.16201204,0.26527357,0.26068574,0.2936937,0.20720962,0.2743299,0.24735734,0.22414987,0.20651257
614,거믄,,,,,,,,,,,,
615,거인,0.2550638,0.39873415,0.29892057,0.24134481,0.18734623,0.16912907,0.18986481,0.22195402,0.2707024,0.17496453,0.12268378,0.16948615
616,거친,,,,,,,,,,,,
617,장수,0.11532174,0.11754917,0.11190121,0.06931769,0.17697091,0.14592305,0.14487627,0.15653682,0.07337718,0.08353308,0.087916635,0.055206142
618,예술,0.15131623,0.1688673,0.15934837,0.13030478,0.07782939,0.19034036,0.10110146,0.20498663,0.069801286,0.15971048,0.060921237,0.16272894
619,걸서,,,,,,,,,,,,
620,코지,0.19271846,0.17397982,0.1890851,0.15797621,0.13101867,0.22160822,0.22646943,0.23986202,0.19715807,0.2050876,0.13204026,0.11699964
621,고근산,0.20411819,0.17224616,0.23515911,0.16609715,0.14188176,0.18727323,0.27299187,0.18096913,0.2846291,0.20149277,0.18877459,0.11987293
622,다락,0.19018742,0.22463278,0.20772894,0.14568743,0.10877609,0.19871698,0.18791819,0.20336333,0.20699325,0.16116714,0.12607995,0.10419139
623,토토,0.2580872,0.36101913,0.33339822,0.293828,0.23373963,0.2705235,0.18684894,0.27390003,0.23240903,0.21979366,0.21988894,0.2301035
624,고사리,0.2077398,0.2273996,0.21162584,0.2471937,0.21000683,0.1457012,0.21669069,0.16319959,0.24260385,0.26538548,0.08585152,0.16380046
625,고살,0.22983329,0.2248069,0.2621232,0.2644763,0.2701785,0.23615733,0.35259,0.2430836,0.30573797,0.21572015,0.20767632,0.2031543
626,고포,,,,,,,,,,,,
627,고흐,0.2443328,0.25113696,0.28611594,0.20031899,0.19009566,0.25114936,0.1939128,0.29181668,0.2605602,0.19789167,0.07552759,0.1712712
628,곤물,0.17610668,0.22675014,0.17881155,0.16614114,0.22880754,0.21065179,0.2625621,0.103990175,0.1851801,0.23531711,0.12090093,0.07590789
629,골프,0.20519914,0.18190587,0.1858763,0.2698793,0.10943764,0.21241374,0.14175314,0.23490636,0.18204373,0.09312794,0.10838257,0.11521832
630,곽지,0.30928144,0.33955023,0.34532678,0.30008003,0.2960037,0.3106406,0.3368768,0.3269559,0.3475266,0.38426453,0.35356677,0.23415788
631,관음,0.108923934,0.0982428,0.10278167,0.10889283,0.027622258,0.10197322,0.17868873,0.11858803,0.12461626,0.12961172,0.07660118,0.0364012
632,야영장,0.13739154,0.22611603,0.18278635,0.17267108,0.1358825,0.24428125,0.16833746,0.20849855,0.15509254,0.20119035,0.10916521,0.1681208
633,템플스테이,0.29828647,0.19378099,0.21703641,0.25264096,0.21435744,0.2712294,0.24366072,0.23032077,0.34586304,0.25959393,0.11004402,0.08446655
634,광령,0.16340014,0.19314349,0.21738628,0.1628557,0.139249,0.15646145,0.26248533,0.20309822,0.26839644,0.16006942,0.14871894,0.20419046
635,엄포,0.16840015,0.18425785,0.23127365,0.23988327,0.1983697,0.20022167,0.2591282,0.23630323,0.23860699,0.25371066,0.16148922,0.16857013
636,굴동,0.2812808,0.36278766,0.3443076,0.32802153,0.2801473,0.322232,0.35438538,0.34326422,0.2966664,0.35636026,0.27202827,0.25473157
637,굿다이버,0.33887702,0.3804687,0.42967916,0.33205104,0.3873831,0.31836462,0.36818123,0.3078012,0.3912973,0.40564632,0.31042337,0.3960123
638,궁대,,,,,,,,,,,,
639,귤빛,0.248896,0.31946117,0.28239757,0.2684115,0.19197333,0.37790072,0.3093465,0.3188779,0.20344232,0.22518273,0.15604872,0.14800622
640,그랑,,,,,,,,,,,,
641,금덕,0.19152634,0.20929775,0.22400764,0.14640485,0.2539763,0.23848364,0.28800702,0.1867952,0.17142001,0.18177593,0.21395956,0.24274465
642,금룡사,0.24222106,0.19687445,0.17770478,0.26615268,0.14431632,0.21856079,0.2852506,0.19141403,0.2680764,0.21097767,0.1058826,0.064298734
643,템플스테이,0.29828647,0.19378099,0.21703641,0.25264096,0.21435744,0.2712294,0.24366072,0.23032077,0.34586304,0.25959393,0.11004402,0.08446655
644,금붕사,0.241328,0.12204402,0.19398837,0.20343593,0.29302973,0.2625476,0.27051485,0.2030304,0.2113773,0.23139381,0.20739448,0.19163617
645,금성,0.14654106,0.1685136,0.087261096,0.16564885,0.1546895,0.13102017,0.1483061,0.09952296,0.14052865,0.13640673,0.2087829,0.22890115
646,기독교,0.21795481,0.19020185,0.11440777,0.17022972,0.19919598,0.16591123,0.17613527,0.16588542,0.10937752,0.17018287,0.09183786,0.19736221
647,순례,0.19462633,0.1854102,0.15191457,0.23789212,0.14291139,0.2197294,0.19690765,0.20895763,0.20768377,0.13833034,0.0807503,0.14651352
648,순례,0.19462633,0.1854102,0.15191457,0.23789212,0.14291139,0.2197294,0.19690765,0.20895763,0.20768377,0.13833034,0.0807503,0.14651352
649,순례,0.19462633,0.1854102,0.15191457,0.23789212,0.14291139,0.2197294,0.19690765,0.20895763,0.20768377,0.13833034,0.0807503,0.14651352
650,청굴물,0.2506162,0.2347791,0.25891382,0.29239196,0.10629594,0.23840535,0.2502063,0.25348932,0.20505191,0.18944871,0.14999989,0.07794226
651,김녕사굴,0.22977094,0.21295795,0.25937486,0.14504589,0.24954802,0.26424775,0.24680567,0.23086502,0.15559629,0.2109474,0.18201858,0.11633183
652,김녕항,0.23137696,0.22567028,0.27117455,0.22788595,0.14946778,0.23298632,0.31642318,0.1816454,0.27180317,0.21422213,0.18284643,0.12754798
653,김서,,,,,,,,,,,,
654,김영수,0.23470482,0.19343501,0.1842938,0.18929993,0.22985789,0.2879455,0.19694403,0.22464435,0.18817869,0.11068517,0.12891018,0.18240498
655,김택,0.18900663,0.2061503,0.25411817,0.20605183,0.19055262,0.26796955,0.22972652,0.25315547,0.18004194,0.2187204,0.18965806,0.15876575
656,까끄,,,,,,,,,,,,
657,망고,0.19882435,0.24299611,0.24986772,0.15413593,0.16992542,0.16153608,0.21365145,0.12559482,0.24096705,0.25554043,0.26937526,0.16386563
658,꿈바,0.3575624,0.38487262,0.32497385,0.2291235,0.17778242,0.31813058,0.30395997,0.24056011,0.2980637,0.20159075,0.19269411,0.21842869
659,나바,0.3221376,0.33589196,0.36928618,0.2817273,0.43114665,0.3308303,0.3302499,0.3107792,0.34196275,0.35092306,0.26995525,0.33661774
660,남내,,,,,,,,,,,,
661,남두,0.10958264,0.14130598,0.18332458,0.15058494,0.14788602,0.14662316,0.23275703,0.15543254,0.18894872,0.23054326,0.20070314,0.15274441
